gene,cell_type_count,cell_types
ABCB1,1,['FAP']
ABI3BP,1,['Endothelial']
ALDH1A3,1,['Myogeneic']
ANG,1,['Pericytes']
ANGPT1,2,"['Macrophages', 'Myogeneic']"
ANGPTL4,2,"['Pericytes', 'Macrophages']"
ANKDD1B,2,"['Endothelial', 'FAP']"
ATP6V0A4,1,['FAP']
AXL,1,['Myogeneic']
BCL2L2,1,['Myogeneic']
C3,1,['Endothelial']
CCL2,1,['Endothelial']
CCL24,2,"['Endothelial', 'FAP']"
CCL3,1,['Endothelial']
CCL5,1,['Macrophages']
CCND1,1,['Myogeneic']
CD34,1,['Macrophages']
CDKN2AIP,2,"['Macrophages', 'Myogeneic']"
CHD5,1,['Endothelial']
COL1A2,2,"['Endothelial', 'Macrophages']"
CPEB1,2,"['Endothelial', 'Macrophages']"
CXCR2,1,['Pericytes']
DAO,1,['FAP']
DDB2,1,['Macrophages']
DLC1,1,['Myogeneic']
E2F1,1,['Endothelial']
EDN1,1,['Myogeneic']
EGF,1,['FAP']
EGFR,1,['Endothelial']
ESM1,1,['FAP']
FGF1,1,['Myogeneic']
FGF7,1,['Endothelial']
FN1,1,['Myogeneic']
GADD45A,1,['Macrophages']
GDF15,1,['FAP']
GEM,1,['Macrophages']
GEMIN2,1,['Macrophages']
GMFG,1,['FAP']
GNG11,1,['Macrophages']
GRIK2,1,['FAP']
GRIN1,1,['FAP']
GSN,2,"['Endothelial', 'Pericytes']"
HDAC1,1,['Myogeneic']
HK3,1,['Endothelial']
HMGA1,1,['Macrophages']
HOXD13,1,['FAP']
HSD17B1,1,['FAP']
HSF2BP,2,"['FAP', 'Macrophages']"
HSPA2,1,['Macrophages']
IGFBP3,1,['Myogeneic']
IGFBP5,1,['Endothelial']
IGFBP6,3,"['Endothelial', 'Macrophages', 'Myogeneic']"
IGSF3,1,['Endothelial']
IL13,1,['Macrophages']
IL18,1,['Endothelial']
IL1B,1,['Endothelial']
IL6,2,"['Macrophages', 'Myogeneic']"
INHA,1,['Pericytes']
IRF1,1,['Myogeneic']
ISG15,1,['Myogeneic']
ITGA2,2,"['Endothelial', 'Macrophages']"
ITPK1,1,['FAP']
JUNB,1,['Myogeneic']
KAT5,1,['Macrophages']
KITLG,1,['FAP']
KLF4,1,['Myogeneic']
LAYN,2,"['Pericytes', 'Macrophages']"
LCP1,1,['Pericytes']
MAPK12,1,['Macrophages']
MINK1,2,"['Macrophages', 'Myogeneic']"
MMP14,1,['Myogeneic']
MMP2,3,"['Endothelial', 'Macrophages', 'Myogeneic']"
MMP3,1,['FAP']
MS4A2,1,['Macrophages']
NDN,1,['Pericytes']
NKG7,2,"['Endothelial', 'FAP']"
NLRX1,1,['Pericytes']
NOLC1,1,['Myogeneic']
NPB,1,['FAP']
NQO1,1,['Macrophages']
NRN1L,1,['FAP']
OMG,1,['FAP']
PAK4,2,"['Endothelial', 'Macrophages']"
POU2AF1,1,['Macrophages']
PPP2R1A,1,['Myogeneic']
PROX1,1,['Endothelial']
PTGER2,1,['FAP']
PTGS2,2,"['Endothelial', 'Pericytes']"
RASSF1,1,['Myogeneic']
RBM38,1,['FAP']
RELA,1,['Myogeneic']
RELB,2,"['Macrophages', 'Myogeneic']"
RIMS4,1,['Myogeneic']
RPS6KA5,1,['Pericytes']
RUNX1,1,['Endothelial']
SBK3,1,['FAP']
SELPLG,1,['Endothelial']
SLC31A2,1,['Myogeneic']
SMAD5,1,['Myogeneic']
SPARC,1,['Macrophages']
SPI1,2,"['Endothelial', 'Pericytes']"
STK32C,2,"['Endothelial', 'FAP']"
SYK,2,"['Pericytes', 'Myogeneic']"
SYT1,1,['FAP']
TGFB1I1,1,['Macrophages']
TGFBI,2,"['Endothelial', 'Myogeneic']"
THBS1,1,['Myogeneic']
TNFAIP2,1,['Endothelial']
TNFAIP3,1,['Macrophages']
TNFRSF10C,1,['Endothelial']
TNFRSF4,1,['FAP']
TNFSF18,1,['Endothelial']
TP53,1,['Myogeneic']
ULK3,1,['Macrophages']
USP28,1,['Pericytes']
VCAN,1,['Endothelial']
WNT5A,1,['Endothelial']
ZFP36,1,['Myogeneic']
