,gene,cell_type,p_val,logFC,p_val_adj,SnG_score,hallmarker,batches,gene_cell_type
0,ACTN3,"Mesenchymal, Immune",0.9693273894845438,1.48140993,0.9997818595567486,0.043911837041378,False,0,"ACTN3_Mesenchymal, Immune"
1,SELPLG,Epithelial,0.8025845046820692,1.1383463,0.9900983613094284,0.0006760138785466,True,0,SELPLG_Epithelial
2,RHOXF1,"Mesenchymal, Immune",0.9382109481732486,3.583468,0.9997818595567486,0.0882411040365696,False,0,"RHOXF1_Mesenchymal, Immune"
3,PGF,Immune,0.8959901688699544,0.67868525,1.0,0.00044162228005,True,0,PGF_Immune
4,OR52K1,Immune,0.9839720780640452,1.1434455,1.0,0.048595555126667,False,0,OR52K1_Immune
5,OR2M4,Endothelial,0.8689227594300177,24.745121,1.0,0.0983690246939659,False,0,OR2M4_Endothelial
6,NSG2,Immune,0.7808813838135076,6.1281013,1.0,0.0821994617581367,False,0,NSG2_Immune
7,NRG1,Mesenchymal,0.9470243304429128,0.9396094,0.9995637191134972,0.0030707707628607,True,0,NRG1_Mesenchymal
8,NDP,Mesenchymal,0.949566899486192,3.1734164,0.9995637191134972,0.0677338689565658,False,0,NDP_Mesenchymal
9,SEMA3F,Immune,0.7910881361211747,0.6728689,1.0,0.0004993677721358,True,0,SEMA3F_Immune
10,NDN,Immune,0.7885393186252396,0.46348765,1.0,0.0011029611341655,True,0,NDN_Immune
11,MMP2,"Immune, Epithelial",0.2744585670035501,0.6237876,0.4000667261022829,0.0001767694047885,True,0,"MMP2_Immune, Epithelial"
12,MMP10,"Immune, Epithelial",0.8578629429009125,0.8088608,1.0,0.0026753256097435,True,0,"MMP10_Immune, Epithelial"
13,MATK,Endothelial,0.7410688014533549,0.43385163,1.0,0.0008433844195678,True,0,MATK_Endothelial
14,MAST1,"Mesenchymal, Epithelial",0.916593572697722,1.1677535,0.9997818595567486,0.0186146674677729,True,0,"MAST1_Mesenchymal, Epithelial"
15,MASP2,Mesenchymal,0.989227535452496,1.1715667,0.9995637191134972,0.0847889259457588,False,0,MASP2_Mesenchymal
16,MAPK12,"Immune, Epithelial",0.6046447523619214,0.30431325,0.8497667350255809,0.0005766124813817,True,0,"MAPK12_Immune, Epithelial"
17,MAP2K6,Immune,0.7624802156532854,1.5023624,1.0,0.007653837557882,True,0,MAP2K6_Immune
18,MANSC4,Mesenchymal,0.995887583147238,0.9678723,1.0,0.0620695240795612,False,0,MANSC4_Mesenchymal
19,MMP3,"Mesenchymal, Immune, Endothelial, Epithelial",0.9191933568835208,1.17143935,0.9998909297783742,0.0058210139395669,True,0,"MMP3_Mesenchymal, Immune, Endothelial, Epithelial"
20,LOR,Immune,0.9466446918652957,2.4260142,1.0,0.0801603496074676,False,0,LOR_Immune
21,SERPINB4,Epithelial,0.996398831918871,1.043664,1.0,0.0175706651061773,True,0,SERPINB4_Epithelial
22,SLC13A3,"Immune, Endothelial",0.968067556793078,2.0839847,1.0,0.0053106676787137,True,0,"SLC13A3_Immune, Endothelial"
23,XKR3,Immune,0.9697534908990044,1.9417464,1.0,0.0752172395586967,False,0,XKR3_Immune
24,WNT2,"Immune, Epithelial",0.8256591548802532,0.733003495,1.0,0.0009460981818847,True,0,"WNT2_Immune, Epithelial"
25,VGF,"Mesenchymal, Immune, Endothelial",0.933489245870186,2.5858729,0.9998545730378324,0.0529908649623394,True,0,"VGF_Mesenchymal, Immune, Endothelial"
26,USH1C,Mesenchymal,0.9363695546230704,3.033711,0.9995637191134972,0.0819920524954795,False,0,USH1C_Mesenchymal
27,TUBGCP2,Endothelial,0.4368804957996669,0.37785885,0.7993203158931353,0.0003663208335638,True,0,TUBGCP2_Endothelial
28,TNFRSF11B,Epithelial,0.971196816298496,1.0823328,1.0,0.0012758711818605,True,0,TNFRSF11B_Epithelial
29,TNFRSF10C,Immune,0.6720148672470014,1.1916487,0.9561458428425612,0.0021807728335261,True,0,TNFRSF10C_Immune
30,TNF,Endothelial,0.9867106916763048,0.8842222,1.0,0.0020856435876339,True,0,TNF_Endothelial
31,SERPINE2,Immune,0.6587034045478088,0.9470603,0.943801998200597,0.0004620078834705,True,0,SERPINE2_Immune
32,TFAP4,"Mesenchymal, Immune",0.715015396812941,0.3121555,0.9148638428937824,0.0031852817628532,True,0,"TFAP4_Mesenchymal, Immune"
